objective,L,variant,target_kind,post_offset,winsor_pct,drop_rule,spread_tercile,n_events,n_firms,n_quarters,sd_signal,median_spread_bp,dlog_per_1sd,pct_per_1sd,bp_per_1sd_at_median,fm_slope,fm_t,fm_p,fm_nq,pic_mean,pic_t,pic_p,pic_nq
ridge_delta_v3,2,spread_pre_tercile,log,63,0.0,none,middle,295,69,14,2.389561601726507,284.2129,-0.024433384419626773,-0.02413730558705318,-6.860133619082587,-0.01022504898052143,-1.439638334310979,0.17554303232754484,13,-0.08121803672562884,-1.757756237277192,0.10424436589128329,13
ridge_delta_v3,2,spread_pre_tercile,log,63,0.0,none,high,293,50,14,1.887029752289306,584.1271,-0.027764873257412517,-0.02738297180838667,-15.995135911814662,-0.014713532324399623,-1.246162200138466,0.2364844834068947,13,-0.08510557153622646,-1.333464977462959,0.20713909859170448,13
ridge_delta_v3,4,log_post21,log,21,0.0,none,all,981,91,15,1.5798280888854332,281.1337,-0.01573917596687367,-0.015615962410392314,-4.390173291494509,-0.009962587750910062,-3.0325747555672584,0.009617056251438067,14,-0.07374403872597173,-1.8701412496048524,0.08414741410059547,14
ridge_delta_v3,4,log_post42,log,42,0.0,none,all,941,90,14,1.5981329122282462,279.88679999999994,-0.02290398274118899,-0.022643677656903116,-6.33766647962211,-0.014331713317420142,-4.276190574255591,0.0009022361681769825,14,-0.11560878203550726,-3.0349456660841203,0.009573290154393918,14
ridge_delta_v3,4,log_post63,log,63,0.0,none,all,900,90,14,1.6162748660705197,281.95224999999994,-0.024437500347784545,-0.024141322159529244,-6.806700100854128,-0.01511964385562518,-2.7441768818816525,0.01779317170788141,13,-0.07509606530213334,-2.157418462498674,0.05195038916244871,13
ridge_delta_v3,4,raw_bp_post63,raw_bp,63,0.0,none,all,900,90,14,1.6162748660705197,281.95224999999994,,,-12.8185269152425,-7.930907783282461,-1.4700528500470595,0.16727427862772815,13,-0.0865644120994851,-2.308680185921023,0.03957069250900913,13
ridge_delta_v3,4,log_post63_winsor_0.01,log,63,0.01,none,all,900,90,14,1.5633366310832757,281.95224999999994,-0.02291068289929331,-0.02265022607684941,-6.386282205376363,-0.014654990130575982,-2.5845689719130296,0.023895806376360147,13,-0.07383594349897431,-2.151403190418552,0.052511552090384106,13
ridge_delta_v3,4,log_post63_winsor_0.05,log,63,0.05,none,all,900,90,14,1.373456554814335,281.95224999999994,-0.018178399073966737,-0.0180141686320463,-5.079135377684875,-0.01323551080683736,-2.4849520148464874,0.028696449484820884,13,-0.07287694841758809,-2.142732094946335,0.0533305306977256,13
ridge_delta_v3,4,drop_covid_2020,log,63,0.0,drop_covid_2020,all,900,90,14,1.6162748660705197,281.95224999999994,-0.024437500347784545,-0.024141322159529244,-6.806700100854128,-0.01511964385562518,-2.7441768818816525,0.01779317170788141,13,-0.07509606530213334,-2.157418462498674,0.05195038916244871,13
ridge_delta_v3,4,drop_2022_tightening,log,63,0.0,drop_2022_tightening,all,688,84,11,1.5143561360158666,273.5352,-0.024061326708947863,-0.023774160795812183,-6.5030698281146435,-0.01588881646575622,-2.2681442679778168,0.04951305326147223,10,-0.07194732527494421,-1.6062438269380077,0.14268273733300998,10
ridge_delta_v3,4,loo_2022Q1,log,63,0.0,leave_out_2022Q1,all,900,90,14,1.6162748660705197,281.95224999999994,-0.024437500347784545,-0.024141322159529244,-6.806700100854128,-0.01511964385562518,-2.7441768818816525,0.01779317170788141,13,-0.07509606530213334,-2.157418462498674,0.05195038916244871,13
ridge_delta_v3,4,loo_2022Q2,log,63,0.0,leave_out_2022Q2,all,828,88,13,1.5702668042057768,279.04485,-0.02581976699740327,-0.02548928722644539,-7.112654330710369,-0.016442917170666812,-2.8279734522624347,0.016431617022978046,12,-0.0795104366410344,-2.1182968611957564,0.057740327660882586,12
ridge_delta_v3,4,loo_2022Q3,log,63,0.0,leave_out_2022Q3,all,829,90,13,1.6032246929404286,279.0749,-0.0231974281024497,-0.022930436259944842,-6.399309206200481,-0.014469230797527178,-2.4326967085206395,0.033250404503848176,12,-0.07419165178578417,-1.9612978887829426,0.07564680198283423,12
ridge_delta_v3,4,loo_2022Q4,log,63,0.0,leave_out_2022Q4,all,831,90,13,1.5926772524780057,281.2183,-0.024029933375246483,-0.023743513331213606,-6.677110455031227,-0.01508776077379075,-2.518994778238212,0.028526477073568278,12,-0.06896215745692384,-1.8514107843485523,0.09112134805551593,12
ridge_delta_v3,4,loo_2023Q1,log,63,0.0,leave_out_2023Q1,all,831,90,13,1.6036872413895416,279.7276999999999,-0.02169044394233034,-0.021456897883424753,-6.0020886940652725,-0.013525357926734075,-2.3590214665430373,0.03787926164134998,12,-0.0634817044061383,-1.779594267452949,0.10275033472696535,12
ridge_delta_v3,4,loo_2023Q2,log,63,0.0,leave_out_2023Q2,all,830,90,13,1.6196377237931059,281.58494999999994,-0.025216529066154618,-0.024901248054157388,-7.011816688267504,-0.0155692403898193,-2.6080347640465007,0.024342683771508212,12,-0.0705632387957668,-1.880764103400588,0.08672486878560617,12
ridge_delta_v3,4,loo_2023Q3,log,63,0.0,leave_out_2023Q3,all,829,90,13,1.6281074615359767,279.2115,-0.025986346539074976,-0.02565160725436011,-7.162223738900767,-0.015961075760047887,-2.6963844926804237,0.020790625781457857,12,-0.08017756727874192,-2.1417686494752264,0.05543464444326362,12
ridge_delta_v3,4,loo_2023Q4,log,63,0.0,leave_out_2023Q4,all,826,90,13,1.6328754164171086,282.44735000000003,-0.026261559416541864,-0.025919723582957355,-7.320957238738811,-0.0160830147557525,-2.7271244339107192,0.01967924072489783,12,-0.08530939593217968,-2.358238925980078,0.037931632624245454,12
ridge_delta_v3,4,loo_2024Q1,log,63,0.0,leave_out_2024Q1,all,828,90,13,1.6294643677389768,283.16280000000006,-0.023055919924968204,-0.022792163143549815,-6.453892733784369,-0.01414938576224302,-2.3997907095798228,0.03524561633701606,12,-0.07161871798817356,-1.9021573228597053,0.08364443654726741,12
ridge_delta_v3,4,loo_2024Q2,log,63,0.0,leave_out_2024Q2,all,830,90,13,1.619395300976249,284.2099,-0.019497463041144403,-0.019308616840800652,-5.487700061462269,-0.012039965182923773,-2.4241628267439235,0.033757033601037344,12,-0.0574176988896635,-1.7614411765206452,0.10589572753803532,12
ridge_delta_v3,4,loo_2024Q3,log,63,0.0,leave_out_2024Q3,all,835,90,13,1.619578615254895,284.2069,-0.023763639345077647,-0.023483507439428175,-6.6741748504868195,-0.014672729758992059,-2.4577604650339873,0.031804889941042844,12,-0.07178967680458387,-1.905776843351432,0.08313334414257567,12
ridge_delta_v3,4,loo_2024Q4,log,63,0.0,leave_out_2024Q4,all,836,90,13,1.62068508697508,284.33054999999996,-0.02622684492002135,-0.02588590828965398,-7.3601545412468745,-0.016182566947026286,-2.7534581359398125,0.018774208747228658,12,-0.07980110981601686,-2.128408536433267,0.05673611252443767,12
ridge_delta_v3,4,loo_2025Q1,log,63,0.0,leave_out_2025Q1,all,837,90,13,1.6263548964021073,281.73349999999994,-0.02229075502936331,-0.022044151871589146,-6.2105760613143595,-0.013705959922201411,-2.3675135666239755,0.037315416525911485,12,-0.0736455774004038,-1.94789678043701,0.07739430694333475,12
ridge_delta_v3,4,loo_2025Q2,log,63,0.0,leave_out_2025Q2,all,835,87,13,1.6398329240631304,284.2069,-0.03060939189265876,-0.030145667936911424,-8.567606832778992,-0.01866616497540231,-4.0721498059546715,0.001844665591755922,12,-0.09977991573232277,-3.73983376760273,0.0032671253952561456,12
ridge_delta_v3,4,loo_2025Q3,log,63,0.0,leave_out_2025Q3,all,895,90,13,1.6198627181972416,282.171,-0.024491747394147226,-0.024194258174645267,-6.8269180233978295,-0.01511964385562518,-2.7441768818816525,0.01779317170788141,13,-0.07509606530213334,-2.157418462498674,0.05195038916244871,13
ridge_delta_v3,4,loo_2025Q4,log,63,0.0,leave_out_2025Q4,all,900,90,14,1.6162748660705197,281.95224999999994,-0.024437500347784545,-0.024141322159529244,-6.806700100854128,-0.01511964385562518,-2.7441768818816525,0.01779317170788141,13,-0.07509606530213334,-2.157418462498674,0.05195038916244871,13
ridge_delta_v3,4,loo_2026Q1,log,63,0.0,leave_out_2026Q1,all,900,90,14,1.6162748660705197,281.95224999999994,-0.024437500347784545,-0.024141322159529244,-6.806700100854128,-0.01511964385562518,-2.7441768818816525,0.01779317170788141,13,-0.07509606530213334,-2.157418462498674,0.05195038916244871,13
ridge_delta_v3,4,loo_2026Q2,log,63,0.0,leave_out_2026Q2,all,900,90,14,1.6162748660705197,281.95224999999994,-0.024437500347784545,-0.024141322159529244,-6.806700100854128,-0.01511964385562518,-2.7441768818816525,0.01779317170788141,13,-0.07509606530213334,-2.157418462498674,0.05195038916244871,13
ridge_delta_v3,4,spread_pre_tercile,log,63,0.0,none,low,312,53,14,1.369376167002132,176.80885000000006,-0.020349999869320803,-0.020144336070690327,-3.5616968946722767,-0.01486078139790578,-1.302890704080425,0.217059565048044,13,-0.024906961221345336,-0.39344646865431115,0.700890670707275,13
ridge_delta_v3,4,spread_pre_tercile,log,63,0.0,none,middle,295,69,14,1.9506495278164893,284.2129,-0.026809811217007,-0.02645361848050798,-7.5184596238387655,-0.01374404311727759,-1.8790778084128799,0.08473218169837834,13,-0.10016547552274449,-2.1923089669139593,0.04880543427670806,13
ridge_delta_v3,4,spread_pre_tercile,log,63,0.0,none,high,293,50,14,1.4694480212269707,584.1271,-0.03208403003095941,-0.031574798139639926,-18.443695270393267,-0.021834069369918677,-1.8166162982548397,0.0943213959309868,13,-0.0865079832862017,-1.6352471923005434,0.1279383302952937,13
residual_delta_v3,2,log_post21,log,21,0.0,none,all,981,91,15,2.1642612226587516,281.1337,-0.014800954780358167,-0.014691959058677706,-4.13040481041458,-0.006838802370711743,-2.275294596130248,0.04047001201869931,14,-0.05984539113412134,-1.3670300195733172,0.19479039017746824,14
residual_delta_v3,2,log_post42,log,42,0.0,none,all,941,90,14,2.185683844954439,279.88679999999994,-0.024328068393697937,-0.024034526194161798,-6.726946626000123,-0.011130643825665034,-2.9739928459861753,0.010763891440712358,14,-0.10945205357489374,-2.621806343050313,0.021113557302914986,14
residual_delta_v3,2,log_post63,log,63,0.0,none,all,900,90,14,2.2095603938157278,281.95224999999994,-0.024636085649181048,-0.024335094108421385,-6.861334537831151,-0.01114976794394679,-2.339536080048836,0.037417137612932874,13,-0.0785711314085805,-1.862312996514418,0.08721488260010543,13
residual_delta_v3,2,raw_bp_post63,raw_bp,63,0.0,none,all,900,90,14,2.2095603938157278,281.95224999999994,,,-14.479420710184149,-6.55307759439849,-1.6516503495495962,0.12451242250588847,13,-0.09696653156363506,-2.0486667524304796,0.06301985482447413,13
residual_delta_v3,2,log_post63_winsor_0.01,log,63,0.01,none,all,900,90,14,2.1042712272702624,281.95224999999994,-0.02185927448612611,-0.02162209190219233,-6.096397461529906,-0.010388049887695684,-2.1522220675787724,0.05243482488170962,13,-0.07888563541422546,-1.911163776059611,0.0801595545630769,13
residual_delta_v3,2,log_post63_winsor_0.05,log,63,0.05,none,all,900,90,14,1.8690575027533076,281.95224999999994,-0.016000673612508502,-0.015873342864964335,-4.47552473579814,-0.00856082468781079,-1.907496795130802,0.08067047219805568,13,-0.06970868198099335,-1.7857090813906946,0.09942051570170912,13
residual_delta_v3,2,drop_covid_2020,log,63,0.0,drop_covid_2020,all,900,90,14,2.2095603938157278,281.95224999999994,-0.024636085649181048,-0.024335094108421385,-6.861334537831151,-0.01114976794394679,-2.339536080048836,0.037417137612932874,13,-0.0785711314085805,-1.862312996514418,0.08721488260010543,13
residual_delta_v3,2,drop_2022_tightening,log,63,0.0,drop_2022_tightening,all,688,84,11,2.030595840223422,273.5352,-0.022406178904568433,-0.022157024811118253,-6.060726213114193,-0.011034287799044803,-1.806947862237745,0.10423764502352549,10,-0.07441183342439975,-1.3668327417104202,0.2048450659818749,10
residual_delta_v3,2,loo_2022Q1,log,63,0.0,leave_out_2022Q1,all,900,90,14,2.2095603938157278,281.95224999999994,-0.024636085649181048,-0.024335094108421385,-6.861334537831151,-0.01114976794394679,-2.339536080048836,0.037417137612932874,13,-0.0785711314085805,-1.862312996514418,0.08721488260010543,13
residual_delta_v3,2,loo_2022Q2,log,63,0.0,leave_out_2022Q2,all,828,88,13,2.1232661893258107,279.04485,-0.02496240080352801,-0.02465341641325769,-6.87940888502503,-0.011756604484647395,-2.2878103390517706,0.042942665907371565,12,-0.08425586205723969,-1.8539286674946165,0.09073636071766612,12
residual_delta_v3,2,loo_2022Q3,log,63,0.0,leave_out_2022Q3,all,829,90,13,2.1827747759534923,279.0749,-0.02229475582093605,-0.02204806446127805,-6.153061384724726,-0.010213951556773477,-2.0105770733627146,0.06953166950608945,12,-0.07346826738724102,-1.6136680079447505,0.1348948682022876,12
residual_delta_v3,2,loo_2022Q4,log,63,0.0,leave_out_2022Q4,all,831,90,13,2.1776596245617235,281.2183,-0.02478724189623065,-0.024482560808436693,-6.884944130195192,-0.011382514336334512,-2.199608109254616,0.050120404740346354,12,-0.07452318312777688,-1.6323524876443098,0.1308754884104897,12
residual_delta_v3,2,loo_2023Q1,log,63,0.0,leave_out_2023Q1,all,831,90,13,2.2047128200715838,279.7276999999999,-0.02009425475242378,-0.019893710722638014,-5.564821944908868,-0.009114227744079316,-1.9455615636626544,0.07770262639932574,12,-0.059811211382557045,-1.4559042133353786,0.17335988203802494,12
residual_delta_v3,2,loo_2023Q2,log,63,0.0,leave_out_2023Q2,all,830,90,13,2.2253906148168436,281.58494999999994,-0.025158922872999836,-0.02484507470915709,-6.995999119724262,-0.011305396322555486,-2.1832630165993927,0.051570852245788855,12,-0.0753893348548486,-1.648400749980641,0.1275080879058785,12
residual_delta_v3,2,loo_2023Q3,log,63,0.0,leave_out_2023Q3,all,829,90,13,2.2427674987843447,279.2115,-0.026616388896292767,-0.026265294667644268,-7.333572322094957,-0.01186765409732384,-2.3170603495548483,0.040788461017858914,12,-0.08905903421040219,-2.004673050436186,0.07023918839553998,12
residual_delta_v3,2,loo_2023Q4,log,63,0.0,leave_out_2023Q4,all,826,90,13,2.23749428957063,282.44735000000003,-0.02814790520235668,-0.027755443861479323,-7.839451566748603,-0.012580101470452557,-2.5454808931695436,0.027213165470689343,12,-0.0947904522136705,-2.238749913906503,0.04680365221632115,12
residual_delta_v3,2,loo_2024Q1,log,63,0.0,leave_out_2024Q1,all,828,90,13,2.23277598913143,283.16280000000006,-0.021292817886423492,-0.021067726281938426,-5.9655963636272755,-0.009536477456794307,-1.956161762682682,0.07631217580595318,12,-0.06357661151594014,-1.4829739245519356,0.16615624943595655,12
residual_delta_v3,2,loo_2024Q2,log,63,0.0,leave_out_2024Q2,all,830,90,13,2.2203767200523434,284.2099,-0.020134074512553224,-0.019932737542953993,-5.6650813438092005,-0.009067864174003131,-1.9456915752078356,0.07768543102242881,12,-0.06194927420107085,-1.469528098498426,0.1697017150557658,12
residual_delta_v3,2,loo_2024Q3,log,63,0.0,leave_out_2024Q3,all,835,90,13,2.211898467701113,284.2069,-0.02553233394718714,-0.025209140380002104,-7.16461163906522,-0.011543176289517301,-2.2356234831718824,0.04706066444742393,12,-0.07670890634530955,-1.6741084685395187,0.12227382848310236,12
residual_delta_v3,2,loo_2024Q4,log,63,0.0,leave_out_2024Q4,all,836,90,13,2.211262487148332,284.33054999999996,-0.028063871252374514,-0.027673738878130294,-7.8684893957751685,-0.012691334210876967,-2.5887753411445877,0.02519315809479667,12,-0.08900685145575465,-2.0028438196355345,0.07045975899288559,12
